rank,numIter,rmse
10,	5,	4.17557838
10,	8,	3.428683627
10,	10,	3.183461669
10,	12,	3.035055821
10,	15,	2.75624903
20,	5,	3.670856702
20,	8,	3.227144391
20,	10,	2.943655981
20,	12,	2.763196526
20,	15,	2.56022952
30,	5,	3.485117823
30,	8,	3.062280707
30,	10,	2.874678711
30,	12,	2.722304333
30,	15,	2.516589885
40,	5,	3.474705469
40,	8,	3.024900894
40,	10,	2.852877076
40,	12,	2.683816128
50,	5,	3.408234036
50,	8,	3.039622087
50,	10,	2.839138321
50,	12,	2.673802763
70,	5,	3.331071891
70,	8,	2.985386839
70,	10,	2.792094958
70,	12,	2.639389443
